Var1,Var2_1,Var2_2
akg_c,1.09861228866811,10.8197782844103
3pg_c,0.249517100375772,10.8197782844103
adp_c,0.271499107758143,10.8197782844103
ala-L_c,1.31928365083693,10.8197782844103
arg-L_c,0.795112107216633,10.8197782844103
asn-L_c,1.16890166187365,10.8197782844103
asp-L_c,0.95382865119322,10.8197782844103
atp_c,0.271499107758143,10.8197782844103
spmd_c,1.09861228866811,10.8197782844103
ctp_c,0.973762085788634,10.8197782844103
datp_c,1.75321079911082,10.8197782844103
dctp_c,1.05704786424686,10.8197782844103
dhap_c,1.09861228866811,8.86177649699155
fdp_c,0.591151648247942,10.8197782844103
f6p_c,0.565885400949018,10.8197782844103
fum_c,0.820751299432421,10.8197782844103
g1p_c,2.27099902715753,10.8197782844103
g6p_c,0.476202831525326,10.8197782844103
glu-L_c,0.290204141884491,10.8197782844103
gthrd_c,1.53686721959927,10.8197782844103
gly_c,1.48626655403003,10.8197782844103
his-L_c,1.96497230982377,10.8197782844103
ile-L_c,1.09861228866811,10.8197782844103
leu-L_c,0.158930180561555,10.8197782844103
lys-L_c,0.497157260939833,10.8197782844103
mal-L_c,0.618719310770738,10.8197782844103
met-L_c,0.435694772302937,10.8197782844103
nad_c,1.16260401310929,10.8197782844103
nadp_c,1.03101899753558,10.8197782844103
nadph_c,1.09861228866811,10.8197782844103
phe-L_c,0.195289709598418,10.8197782844103
pro-L_c,0.758361430080429,10.8197782844103
pyr_c,1.09861228866811,10.8197782844103
r5p_c,2.26665308376798,10.8197782844103
ru5p-D_c,1.27754299749386,10.8197782844103
amet_c,1.19532625893659,10.8197782844103
s7p_c,0.599297179410769,10.8197782844103
ser-L_c,1.6567840330313,10.8197782844103
succ_c,0.234157592036076,10.8197782844103
thmpp_c,2.90174474806843,10.8197782844103
thr-L_c,1.25428388133607,10.8197782844103
trp-L_c,0.358945092473272,10.8197782844103
tyr-L_c,0.509898194995597,10.8197782844103
udcpdp_c,3.22324980669131,10.8197782844103
utp_c,1.02450431651439,10.8197782844103
val-L_c,0.168557153711542,10.8197782844103
glc-D_e,1.05833838953017,15.2623577088769
etoh_e,4.43477720005941,16.1180956509583
ac_e,2.98496017657208,16.1180956509583
lac-D_e,1688945.73664444,16.1180956509583
succ_e,2.24835095269104,16.1180956509583
pyr_e,2.37890736055368,16.1180956509583
dttp_c,1.06158472824855,10.8197782844103
fad_c,1.0776948253908,10.8197782844103
gln-L_c,1.40118143629282,10.8197782844103
gtp_c,1.06921530254731,10.8197782844103
pep_c,0.831474745447961,10.8197782844103
ptrc_c,0.617038849333469,10.8197782844103
pydx5p_c,1.09861228866811,10.8197782844103
